Soreen Sliced Malt Loaf 290g,1.25,bakery,"Fortified Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin (B3), Thiamin (B1)), 
Water, 
Raisins (14%), 
Partially Inverted Sugar Syrup (Partially Inverted Sugar Syrup, Colour: E150c), 
Maize Starch, 
Malted Barley Flour (5%), 
Barley Malt Extract (4.4%), 
Vegetable Fat (Rapeseed, Palm), 
Rice Starch, 
Salt, 
Yeast, 
Preservative: Calcium Propionate",3136119.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/soreen-fruity-malt-loaf--sliced-350g
Kingsmill Medium Sliced 50/50 Bread 800g,1.40,bakery,"Wheat Flour (33%) (with Calcium, Iron, Niacin (B3) and Thiamin (B1)), 
Wholemeal Wheat Flour (33%), 
Water, 
Yeast, 
Salt, 
Vegetable Oils (Rapeseed, Sustainable Palm), 
Sustainable Soya Flour, 
Emulsifier: E472e, 
Vinegar, 
Preservative: Calcium Propionate, 
Flour Treatment Agent: Ascorbic Acid (Vitamin C)",6528180.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/kingsmill-50-50-bread--medium-800g
Hovis Soft Medium Sliced White Bread 800g,1.40,bakery,"Wheat Flour (with added Calcium, Iron, Niacin, Thiamin), 
Water, 
Yeast, 
Salt, 
Soya Flour, 
Preservative: E282, 
Emulsifiers: E472e, E471, E481, 
Rapeseed Oil, 
Flour Treatment Agent: Ascorbic Acid",3067161.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/aldi-price-match/hovis-soft-white-bread--medium-sliced-800g
Hovis Seed Sensations Seven Seeds Medium Sliced Seeded Bread 800g,2.00,bakery,"Wheat Flour (with added Calcium, Iron, Niacin, Thiamin), 
Water, 
Seed Mix (13%) (contains: Toasted Brown Linseed, Toasted Sunflower Seeds, Pumpkin Seeds, Sunflower Seeds, Millet Seeds, Golden Linseed, Poppy Seeds), 
Yeast, 
Wheat Protein, 
Salt, 
Soya Flour, 
Malted Barley Flour, 
Granulated Sugar, 
Barley Flour, 
Preservative: E282, 
Caramelised Sugar, 
Barley Fibre, 
Emulsifier: E472e, 
Flour Treatment Agent: Ascorbic Acid",7583476.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/aldi-price-match/hovis-seed-sensations-7-seeds-bread-800g
"New York Bakery Co. Bagels, Plain x5",1.30,bakery,"Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin), 
Water, 
Sugar, 
Yeast, 
Maize, 
Salt, 
Rapeseed Oil, 
Spirit Vinegar, 
Sweet Potato Puree, 
Preservative (Calcium Propionate), 
Malted Barley Flour, 
Flour Treatment Agent (Ascorbic Acid)",7431623.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-breakfast-bakery/new-york-bakery-co-plain-bagels-x5
Warburtons Crumpets x6,5p,bakery,"Wheat Flour [with Calcium, Iron, Niacin (B3) and Thiamin (B1)], 
Water, 
Yeast, 
Raising Agents: E450, E500, E501, 
Salt, 
Sugar, 
Preservative: Calcium Propionate",2938431.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-breakfast-bakery/warburtons-crumpets-x6
Warburtons Toastie Thick Sliced White Bread 800g,1.40,bakery,"Wheat Flour [with Calcium, Iron, Niacin (B3) and Thiamin (B1)], 
Water, 
Yeast, 
Salt, 
Vegetable Oils (Sunflower, Rapeseed and Sustainable Palm in varying proportions), 
Soya Flour, 
Preservative: Calcium Propionate, 
Emulsifiers: E481, E472e, 
Flour Treatment Agent: Ascorbic Acid (Vitamin C)",2256481.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/aldi-price-match/warburtons-white-sliced-bread--toastie-800g
Hovis Soft Thick Sliced White Bread 800g,1.40,bakery,"Wheat Flour (with added Calcium, Iron, Niacin, Thiamin), 
Water, 
Yeast, 
Salt, 
Soya Flour, 
Preservative: E282, 
Emulsifiers: E477e, E471, E481, 
Rapeseed Oil, 
Flour Treatment Agent: Ascorbic Acid",4067351.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/aldi-price-match/hovis-soft-white-bread--thick-sliced-800g
Hovis Medium Sliced Wholemeal Bread 800g,1.45,bakery,"Wholemeal Flour (Wheat), 
Water, 
Wheat Protein, 
Yeast, 
Granulated Sugar, 
Salt, 
Soya Flour, 
Wheat Flour (with added Calcium, Iron, Niacin, Thiamin), 
Preservative: E282, 
Emulsifiers: E471, E472e, 
Caramelised Sugar, 
Vegetable Oil (Palm, Rapeseed), 
Flour Treatment Agent: Ascorbic Acid, 
This product contains 61% Wholegrains from Wholemeal Flour",2300757.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/aldi-price-match/hovis-wholemeal-bread--medium-sliced-800g
Warburtons Medium Sliced Wholemeal Bread 400g,1.00,bakery,"Wholemeal Wheat Flour, 
Water, 
Yeast, 
Vegetable Oil (Rapeseed, Sustainable Palm), 
Salt, 
Wheat Gluten, 
Emulsifiers: E472e, E481, E471, 
Soya Flour, 
Preservative: Calcium Propionate, 
Flour Treatment Agent: Ascorbic Acid (vitamin C), 
This product contains 57% Wholegrains from Wholemeal Flour",2048178.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/aldi-price-match/warburtons-wholemeal-bread--medium-sliced-400g
Warburtons Thick Sliced Seeded Bread 800g,1.65,bakery,"Wheat Flour [with Calcium, Iron, Niacin (B3) and Thiamin (B1)], 
Water, 
Seed Mix (12%)(Sesame Seed, Sunflower Seed, Brown Linseed, Millet Seed, Poppy Seed), 
Yeast, 
Malted Barley Flour, 
Vegetable Oil (Rapeseed, Sustainable Palm), 
Wheat Gluten, 
Sugar, 
Salt, 
Soya Flour, 
Emulsifiers: E471, E481, E472e, 
Preservative: Calcium Propionate, 
Flour Treatment Agent: Ascorbic Acid (Vitamin C)",3463505.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/warburtons-batch-bread--seeded--large-800g
Warburtons Soft Farmhouse Thick Sliced White Bread 800g,1.60,bakery,"Wheat Flour [with Calcium, Iron, Niacin (B3) and Thiamin (B1)], 
Water, 
Yeast, 
Vegetable Oil (Rapeseed, Sustainable Palm), 
Salt, 
Flavouring, 
Soya Flour, 
Preservative: Calcium Propionate, 
Emulsifiers: E471, E481, 
Flour Treatment Agents: Ascorbic Acid (Vitamin C), 
E920 (Vegetarian)",3236048.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/warburtons-farmhouse-bread--original-soft-800g
Warburtons Crumpets x9,1.35,bakery,"Wheat Flour [With Calcium, Iron, Niacin (B3) and Thiamin (B1)], 
Water, 
Yeast, 
Raising Agents: E450, E500, E501, 
Salt, 
Sugar, 
Preservative: Calcium Propionate",7725760.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-breakfast-bakery/warburtons-crumpets-x9
Warburtons Medium Sliced White Bread 800g,1.40,bakery,"Wheat Flour [with Calcium, Iron, Niacin (B3) and Thiamin (B1)], 
Water, 
Yeast, 
Salt, 
Vegetable Oils (Sunflower, Rapeseed and Sustainable Palm in varying proportions), 
Soya Flour, 
Preservative: Calcium Propionate, 
Emulsifiers: E481, E472e, 
Flour Treatment Agent: Ascorbic Acid (Vitamin C)",2046136.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/aldi-price-match/warburtons-white-bread--medium-sliced-800g
Hovis Granary Medium Sliced Bread 800g,2.10,bakery,"Wheat Flour (with added Calcium, Iron, Niacin, Thiamin), 
Water, 
Original Granary Blend (Granary Malted Wheat Flakes (11%), Malted Barley Flour, Toasted Wheat, Toasted Rye), 
Wheat Protein, 
Yeast, 
Salt, 
Vinegar, 
Soya Flour, 
Granulated Sugar, 
Barley Flour, 
Caramelised Sugar, 
Emulsifier: E472e, 
Barley Fibre, 
Flour Treatment Agent: Ascorbic Acid",2362847.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-bread/hovis-granary-bread--medium-800g
Warburtons Toastie Thick Sliced White Bread 400g,1.00,bakery,"Wheat Flour [with Calcium, Iron, Niacin (B3) and Thiamin (B1)], 
Water, 
Yeast, 
Salt, 
Vegetable Oil (Rapeseed, Sustainable Palm), 
Soya Flour, 
Preservative: Calcium Propionate, 
Emulsifiers: E481 E472e, 
Flour Treatment Agent: Ascorbic Acid (Vitamin C)",2682112.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/aldi-price-match/warburtons-white-toastie-bread--sliced-400g
Warburtons Teacakes x4,1.35,bakery,"Wheat Flour [with Calcium, Iron, Niacin (B3) and Thiamin (B1)], 
Water, 
Dried Fruit Blend (15%) (Raisins, Sultanas, Currants in varying proportions), 
Sugar, 
Yeast, 
Vegetable Oils (Sunflower, Rapeseed and Sustainable Palm in varying proportions), 
Salt, 
Emulsifiers: E481, E471, E472e, 
Soya Flour, 
Gelling Agent: E466, 
Preservative: Calcium Propionate, 
Flour Treatment Agents: E920 (Vegetarian), 
Ascorbic Acid (Vitamin C)",6012248.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-breakfast-bakery/warburtons-teacakes-x4
